date_mm_dd_yyyy,route_shift,route_name,building_name,any_birds_found_on_route_shift,building_face_direction,species,found_dead_alive
2019-10-03,AM,Other (explain in notes),Beckman Institute_228,Yes,East,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-03,AM,South Quad,"ACES Library, Information & Alumni Center_377",Yes,North,Song Sparrow_Melospiza melodia,Alive
2019-10-03,AM,Other (explain in notes),Beckman Institute_228,Yes,South,Unidentifiable,Dead
2019-10-03,AM,Other (explain in notes),Beckman Institute_228,Yes,South,Unidentifiable,Dead
2019-10-03,AM,Other (explain in notes),Beckman Institute_228,Yes,South,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019-10-03,AM,Other (explain in notes),Beckman Institute_228,Yes,South,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019-10-03,AM,Other (explain in notes),Beckman Institute_228,Yes,North,American Redstart_Setophaga ruticilla,Dead
2019-10-03,PM,Other (explain in notes),Beckman Institute_228,Yes,South,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-03,PM,South Quad,Business Instructional Facility_1206,Yes,South,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019-10-03,PM,Main Quad,Chemistry Annex_10,Yes,North,Unidentifiable,Dead
2019-10-03,PM,South Quad,Agricultural Engineering Sciences Building_8,Yes,East,Black-and-white Warbler_Mniotilta varia,Alive
2019-10-04,AM,South Quad,Agricultural Engineering Sciences Building_8,Yes,West,Unidentifiable,Alive
2019-10-04,AM,South Quad,Agricultural Engineering Sciences Building_8,Yes,West,Palm Warbler_Setophaga palmarum,Dead
2019-10-04,AM,North Quad,Beckman Institute_228,Yes,North,Gray Catbird_Dumetella carolinensis,Dead
2019-10-04,AM,North Quad,Beckman Institute_228,Yes,South,Nashville Warbler_Oreothlypis ruficapilla,Alive
2019-10-04,AM,North Quad,Siebel Center for Computer Science_563,Yes,North,House Wren_Troglodytes aedon,Alive
2019-10-04,PM,Main Quad,Illini Union Bookstore_106,Yes,South,Unidentifiable,Dead
2019-10-05,AM,South Quad,Agricultural Engineering Sciences Building_8,Yes,North,Common Yellowthroat_Geothlypis trichas,Alive
2019-10-05,PM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,East,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-06,PM,North Quad,National Center for Supercomputing Applications_564,Yes,East,Unidentifiable,Dead
2019-10-06,PM,North Quad,Beckman Institute_228,Yes,East,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019-10-06,PM,North Quad,Electrical and Computer Engineering_409,Yes,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-07,AM,Main Quad,Morrill Hall_242,Yes,North,Unidentifiable,Dead
2019-10-05,AM,North Quad,Siebel Center for Computer Science_563,Yes,West,Unidentifiable,Alive
2019-10-05,AM,North Quad,Siebel Center for Computer Science_563,Yes,North,White-throated Sparrow_Zonotrichia albicollis,Alive
2019-10-05,PM,North Quad,Beckman Institute_228,Yes,East,Dark-eyed Junco_Junco hyemalis,Dead
2019-10-05,PM,North Quad,Beckman Institute_228,Yes,East,Blue-headed Vireo_Vireo solitarius,Dead
2019-10-07,AM,South Quad,Business Instructional Facility_1206,Yes,South,Yellow-rumped Warbler_Setophaga coronata,Alive
2019-10-07,PM,N/A,Newmark Civil Engineering Building_24,Yes,East,Common Yellowthroat_Geothlypis trichas,Dead
2019-10-07,PM,Main Quad,Morrill Hall_242,Yes,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-08,AM,Main Quad,Chemistry Annex_10,Yes,East,Unidentifiable,Dead
2019-10-06,AM,North Quad,Coordinated Science Laboratory_148,Yes,West,Unidentifiable,Dead
2019-10-06,AM,North Quad,Grainger Engineering Library Information Center_324,Yes,South,Yellow-rumped Warbler_Setophaga coronata,Alive
2019-10-08,AM,North Quad,Coordinated Science Laboratory_148,Yes,West,Unidentifiable,Dead
2019-10-07,PM,North Quad,Coordinated Science Laboratory_148,Yes,North,American Redstart_Setophaga ruticilla,Dead
2019-10-07,PM,North Quad,Newmark Civil Engineering Building_24,Yes,North,Ovenbird_Seiurus aurocapilla,Dead
2019-10-08,PM,North Quad,Siebel Center for Computer Science_563,Yes,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-08,PM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,East,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-08,PM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,East,Yellow-bellied Sapsucker_Sphyrapicus varius,Alive
2019-10-08,PM,Main Quad,Chemical & Life Sciences Laboratory_70,Yes,North,Golden-winged Warbler_Vermivora chrysoptera,Dead
2019-10-08,PM,Main Quad,Morrill Hall_242,Yes,East,Black-throated Green Warbler_Setophaga virens,Dead
2019-10-08,PM,South Quad,Agricultural Engineering Sciences Building_8,Yes,East,Unidentifiable,Dead
2019-10-09,PM,North Quad,Coordinated Science Laboratory_148,Yes,West,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019-10-08,PM,North Quad,North Campus Parking Deck_1094,Yes,South,Yellow-bellied Sapsucker_Sphyrapicus varius,Dead
2019-10-08,PM,North Quad,Beckman Institute_228,Yes,West,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-08,PM,North Quad,Beckman Institute_228,Yes,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-08,PM,North Quad,Electrical and Computer Engineering_409,Yes,North,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019-10-10,AM,Main Quad,Morrill Hall_242,Yes,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-10,AM,South Quad,Business Instructional Facility_1206,Yes,South,Lincoln's Sparrow_Melospiza lincolnii,Alive
2019-10-10,PM,South Quad,Temple Hoyne Buell Hall_339,Yes,North,Black-throated Green Warbler_Setophaga virens,Dead
2019-10-10,PM,South Quad,Temple Hoyne Buell Hall_339,Yes,East,Ovenbird_Seiurus aurocapilla,Dead
2019-10-10,PM,North Quad,Electrical and Computer Engineering_409,Yes,East,Unidentifiable,Dead
2019-10-12,PM,North Quad,Coordinated Science Laboratory_148,Yes,North,Yellow-bellied Sapsucker_Sphyrapicus varius,Dead
2019-10-12,AM,South Quad,Agricultural Engineering Sciences Building_8,Yes,East,Black-throated Green Warbler_Setophaga virens,Alive
2019-10-13,PM,North Quad,Beckman Institute_228,Yes,East,Nashville Warbler_Oreothlypis ruficapilla,Dead
2019-10-12,AM,North Quad,Beckman Institute_228,Yes,North,Nashville Warbler_Oreothlypis ruficapilla,Alive
2019-10-12,PM,North Quad,Beckman Institute_228,Yes,East,Northern Flicker_Colaptes auratus,Dead
2019-10-12,PM,North Quad,North Campus Parking Deck_1094,Yes,North,Black-throated Green Warbler_Setophaga virens,Alive
2019-10-15,AM,North Quad,Beckman Institute_228,Yes,North,Black-throated Green Warbler_Setophaga virens,Alive
2019-10-15,AM,Other (explain in notes),State Farm Center_166,Yes,West,Lincoln's Sparrow_Melospiza lincolnii,Dead
2019-10-15,AM,South Quad,Temple Hoyne Buell Hall_339,Yes,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-14,AM,Other (explain in notes),Forbes Natural History Building_1073,Yes,West,Northern Waterthrush_Parkesia noveboracensis,Dead
2019-10-13,PM,Main Quad,Carl R. Woese Institute for Genomic Biology_1080,Yes,South,Yellow-bellied Sapsucker_Sphyrapicus varius,Dead
2019-10-13,PM,Main Quad,Foreign Languages Building_172,Yes,East,Yellow-bellied Sapsucker_Sphyrapicus varius,Dead
2019-10-13,PM,Main Quad,Foreign Languages Building_172,Yes,East,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-10,AM,North Quad,North Campus Parking Deck_1094,Yes,North,Yellow-bellied Sapsucker_Sphyrapicus varius,Dead
2019-10-10,AM,North Quad,Beckman Institute_228,Yes,West,Scarlet Tanager_Piranga olivacea,Alive
2019-10-17,PM,Other (explain in notes),Agricultural Engineering Sciences Building_8,Yes,South,American Goldfinch_Spinus tristis,Dead
2019-10-14,PM,Other (explain in notes),Temple Hoyne Buell Hall_339,Yes,North,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-14,PM,Other (explain in notes),Beckman Institute_228,Yes,West,Ruby-crowned Kinglet_Regulus calendula,Dead
2019-10-14,PM,Other (explain in notes),Beckman Institute_228,Yes,West,Tennessee Warbler_Oreothlypis peregrina,Dead
2019-10-16,PM,Other (explain in notes),Beckman Institute_228,Yes,East,White-throated Sparrow_Zonotrichia albicollis,Dead
2019-10-17,PM,Other (explain in notes),Temple Hoyne Buell Hall_339,Yes,North,Brown Creeper_Certhia americana,Dead
2019-10-17,PM,Other (explain in notes),Temple Hoyne Buell Hall_339,Yes,West,Ruby-crowned Kinglet_Regulus calendula,Dead
2019-10-17,AM,Other (explain in notes),Electrical and Computer Engineering_409,Yes,South,Tennessee Warbler_Oreothlypis peregrina,Dead
